Name	ID	ALL	ALL.1	ALL.2	ALL.3	ALL.4	ALL.5	ALL.6	ALL.7	ALL.8	ALL.9	ALL.10	ALL.11	ALL.12	ALL.13	ALL.14	ALL.15	ALL.16	ALL.17	ALL.18	ALL.19	ALL.20	ALL.21	ALL.22	ALL.23	ALL.24	ALL.25	ALL.26	AML	AML.1	AML.2	AML.3	AML.4	AML.5	AML.6	AML.7	AML.8	AML.9	AML.10
CD44_gene_cell_surface_glycoprotein_CD44_extracted_from_Human_hyaluronate_receptor_CD44_gene	L05424_cds2_at	-1.45769	-1.3942	-1.46227	-1.40715	-1.42668	-1.21719	-1.37386	-1.36832	-1.47649	-1.21583	-1.28137	0.07947	-1.36149	-1.39979	-1.39503	-1.40095	-1.56783	-1.20466	-1.24482	-1.60767	-1.06221	-1.12665	-1.20963	-1.48332	-0.81686	-1.27619	-1.23051	-0.89329	-1.08902	0.65548	-1.26183	-0.02838	-1.05794	-1.34158	-1.22961	-1.39906	0.05216	-0.63875
Homeobox_protein_HOX_gene_3'_end	L11239_at	-1.45769	-1.23277	-1.46227	-1.40715	-1.42668	-1.21719	-1.37386	-1.15048	-1.47649	-1.21583	-1.28137	-1.03209	-1.36149	-1.39979	-1.39503	-1.40095	-1.56783	-1.20466	-0.34958	-1.36355	-1.06221	-1.12665	-1.20963	-1.48332	-0.49252	-1.27619	-0.91323	-1.43337	-0.79563	-1.29865	-1.26183	-1.44434	-0.13786	-1.34158	-1.22961	-1.39906	0.1403	0.31186
Chromosome_3p21-1_gene_sequence	L13434_at	-0.01463	-0.00161	0.16564	0.07237	-0.57409	0.00978	0.19584	0.77127	0.48996	-0.43357	0.76642	-0.62533	0.01197	-0.09435	-0.1993	-0.00455	0.03815	0.39906	0.07858	0.41438	-0.30161	0.97524	0.04234	0.59472	0.06468	0.21749	0.50806	0.19303	0.26162	0.15799	0.59095	0.43766	0.30692	0.31622	0.22444	0.05576	0.07711	0.18913
BMI1_Murine_leukemia_viral_bmi-1_oncogene_homolog	L13689_at	0.23713	0.27399	0.23845	-0.41144	-0.73932	-0.35187	-0.07224	0.49088	0.49416	-0.76627	0.41474	-0.5755	0.74498	-0.35781	-0.27274	-0.30982	0.71029	-0.61241	-0.18149	0.81447	1.05061	0.4266	0.2838	0.29849	-0.21865	-0.17921	0.2044	0.05322	0.54599	0.02816	0.20645	0.27807	0.01018	0.42467	-0.16279	-0.62782	-0.47988	-0.23377
Dihydrolipoamide_dehydrogenase_gene_exon_14	L13761_rna1_at	-0.46295	0.26994	-0.12249	-0.0902	0.26365	-0.30902	-0.63753	0.02847	-0.09886	-0.55084	0.3133	-0.6382	-0.22686	0.04125	-0.17024	-0.00238	0.31797	-0.30724	-0.3384	0.22367	0.71355	0.18548	-0.50461	-0.04138	-0.24956	-0.41533	-0.0655	0.09662	0.43662	-0.30818	0.06388	-0.39288	-0.03693	-0.0089	0.02764	-0.27252	-0.10279	0.59067
GB_DEF_-_Liver_expressed_protein_gene_3'_end	L13800_at	-0.9521	-0.81201	-1.46227	-1.09146	-0.6754	-1.21719	-0.78432	-1.36832	-1.19025	-1.21583	-1.28137	-1.03209	-0.41739	-1.15747	-0.39156	-0.90333	-0.1496	-1.20466	-0.88947	0.23978	0.19418	-0.66253	-0.47239	-0.48114	-1.25268	-0.78074	-0.64027	-1.43337	-1.08902	-1.20511	-1.26183	-1.43544	-1.47218	-0.84529	-1.22961	-1.39906	-1.21829	-1.18952
High_mobility_group_protein_HMG-IY_gene_exons_1-8	L17131_rna1_at	2.11335	1.57285	1.4183	2.14777	2.34917	1.91977	2.30002	0.91673	2.17982	2.65776	1.92643	1.99428	2.02788	2.18713	2.40814	1.74374	1.61947	2.40846	1.90327	1.59136	1.26804	1.11691	2.40627	2.01945	2.09284	2.16983	1.28197	2.68716	2.67462	2.22784	2.21684	1.63859	1.60895	2.62578	2.41319	1.98692	2.65914	2.31147
HRY_gene	L19314_at	-0.43514	-0.538	0.33917	-0.27848	-1.32999	-0.65621	-0.68991	-0.52956	-0.99557	0.22561	-0.69076	-0.4557	-0.63303	-0.20398	-1.39503	-0.59068	-0.80318	0.01777	-0.41959	-0.94801	-0.25473	-0.4682	-0.27628	-0.01748	-0.24017	-0.73337	-1.23051	-0.77995	-0.47625	-0.37549	-0.33101	-0.07551	-1.47218	-0.00677	0.18226	-0.84844	-0.54162	-0.41382
Macrophage_migration_inhibitory_factor_MIF_gene	L19686_rna1_at	0.44296	2.39986	2.17388	0.30923	2.38769	2.10496	-1.37386	-1.36832	2.41481	2.6689	2.38913	2.63921	1.66452	2.31984	2.20681	1.9289	1.35017	2.69992	1.47426	1.96121	1.02734	0.59577	2.43666	1.57964	1.81639	2.04544	0.80072	1.53023	2.24647	1.54825	2.35551	1.36981	-1.47218	1.79472	0.46388	1.17338	0.40665	0.03103
HCF1_gene_related_mRNA_sequence	L20010_at	1.10896	0.9532	0.84404	0.56128	0.86378	1.18988	1.16567	0.49561	1.3709	1.03468	1.43546	0.22834	1.34696	1.09084	1.14368	0.57815	1.06847	0.53937	1.15991	1.27465	1.40331	0.50477	1.4649	1.22067	0.53835	1.07823	0.99836	0.23911	0.56829	0.16922	0.78405	0.72368	-0.03531	0.93318	1.20814	0.3623	0.74636	0.05707
Effector_cell_protease_receptor-1_EPR-1_gene_partial_cds	L32866_at	-1.45769	-1.3942	-1.46227	-1.40715	-1.42668	-1.21719	-1.37386	-1.36832	-1.47649	-1.21583	-0.84458	-1.03209	-1.36149	-1.3906	-1.34364	-1.40095	-1.56783	-0.34591	-1.24482	-1.60767	-1.06221	-1.12665	-0.6729	-1.48332	-1.25268	-1.27619	-1.23051	-1.43337	-1.08902	-1.29865	-1.26183	-1.44434	-1.47218	-1.34158	-1.22961	0.39169	-1.34579	-1.32403
clone_FFE-7_type_II_inosine_monophosphate_dehydrogenase_IMPDH2_gene_exons_1-13	L33842_rna1_at	0.82282	0.90174	0.3747	1.504	1.78324	0.83069	1.09271	0.79449	1.8303	1.70267	1.45286	1.90307	1.34985	1.34132	1.67186	1.46713	1.26411	2.14591	1.91984	1.90217	2.33598	0.59422	1.17379	1.2053	1.56019	1.74046	1.57146	2.02843	1.73038	0.96049	1.43642	0.55696	0.16495	1.918	1.55252	1.07325	0.96559	0.42652
Enigma_gene	L35240_at	0.07888	-1.3942	-0.78928	-1.40715	-1.42668	-1.21719	-0.65467	0.30337	-1.47649	-1.21583	-1.28137	-0.9395	-0.16768	-1.07593	-1.39503	-1.40095	-0.96908	-1.20466	-0.63098	-0.49434	0.14377	-0.64521	-1.20963	-0.82365	-1.01656	-0.31223	-1.23051	-0.09722	-0.41099	0.36669	-1.26183	-0.73103	-0.08335	0.33838	-1.22961	-0.17371	-0.05751	-0.57707
GB_DEF_-_Olfactory_receptor-like_gene	L35475_at	0.76913	0.1759	1.04961	0.55435	-0.33188	0.92951	0.5165	0.89796	0.7243	0.53713	0.70395	0.3291	0.23098	0.0774	0.03138	0.60597	-1.56783	0.69047	-0.03857	0.06015	0.19651	0.57224	0.60569	0.34907	0.67552	0.49816	1.0709	0.36482	0.17454	0.48033	0.36204	0.73157	0.59615	0.71767	0.83818	0.18631	0.21885	0.51171
GB_DEF_-_Met-ase_gene_exon_1	L36922_at	0.58027	0.53742	0.92795	0.47954	0.12878	0.06504	0.30099	0.55936	0.32689	0.78735	0.34088	0.56012	-0.22198	0.64079	0.1522	0.46321	0.18427	0.68642	0.27895	-0.40801	-0.006	0.6957	1.00207	0.58338	0.44215	0.42357	0.74901	0.69565	-0.25392	0.37759	0.15101	0.81546	-0.20192	0.68628	0.74874	0.54671	0.43196	0.50691
Brain_and_reproductive_organ-expressed_protein_BRE_gene	L38616_at	-0.37048	-0.26248	-0.35834	-0.11828	-0.21459	-0.4562	0.12355	-0.96889	-0.48433	-0.31563	-0.36547	-0.18974	-0.74443	-0.13337	-0.15714	-0.35594	-0.05405	-0.16318	-0.13843	-0.13403	-0.75991	-0.29106	-0.33735	-0.35747	-0.24329	-0.36234	-0.00447	-0.36611	-1.08902	0.10548	0.22192	-0.07745	-0.24401	-0.29448	0.02764	-0.15863	-0.3794	-0.54582
GB_DEF_-_Thyroid_receptor_interactor_TRIP14_gene_3'_end_of_cds	L40387_at	-0.08477	-0.19142	-0.15368	0.11962	-1.42668	0.15182	0.35971	-0.80763	-0.1176	0.25211	-0.12666	0.40943	-0.86686	-0.51728	-0.41157	-0.31283	-0.92052	-0.10924	-0.32004	-0.34189	-0.30161	0.2411	0.08147	-1.48332	-0.07527	-0.80814	0.34208	-1.43337	-1.08902	-0.8227	0.47292	-0.11915	1.50457	-0.34541	-1.22961	0.84601	1.78524	1.13572
Splicing_factor_arginine/serine-rich_7_SFRS7_gene	L41887_rna1_at	-0.47559	-0.28749	-0.15966	-0.72454	-0.94605	-0.53734	0.00126	-0.18083	-0.55619	-0.51578	-0.99634	-1.03209	0.04858	-0.08541	-0.02088	0.10618	0.52786	-0.19301	-0.5217	0.59847	-0.12692	-0.89215	-0.82973	-0.30526	-0.29795	-0.23731	-0.4451	-0.57417	-1.08902	-1.29865	-0.52437	-0.57944	-1.17715	-1.08061	-0.84237	-1.10771	-1.34579	-1.28848
HIC-1_gene_fragment	L41919_rna1_at	-1.45769	-1.3942	-1.46227	-1.40715	-1.42668	-1.21719	-0.02041	-0.50803	-0.77163	-0.72218	-1.28137	-1.03209	-1.36149	-0.68852	-1.39503	-0.46607	-1.56783	0.6251	-0.3647	-1.60767	-1.06221	-1.12665	-0.79753	-1.48332	-0.78833	-0.70308	-1.23051	-0.44557	-1.08902	-0.09085	-0.22949	-0.94893	-0.37706	-1.34158	-0.94541	-0.17561	-0.60451	-0.50453
GB_DEF_-_clone_GPCR_W_G_protein-linked_receptor_gene_GPCR_gene_5'_end_of_cds	L42324_at	-0.30741	-0.55157	-0.40463	0.41723	-0.61176	-0.69242	0.44606	0.27678	-0.72818	-0.51578	-0.77469	-0.70522	-0.51695	-0.2777	0.05042	0.54583	-0.33633	-0.46326	0.28477	-1.46617	0.0799	0.10065	-0.22234	-0.79169	0.00693	0.0425	-0.08489	-0.15123	-0.42917	-0.62929	-0.31224	-0.24793	0.17131	-0.56359	-0.26871	-0.17943	0.32833	0.35266
Scaffold_attachment_factor_SAF-B_gene_partial_cds	L43631_at	0.50652	0.40276	0.41511	0.41723	0.53835	0.27498	0.66766	0.21956	0.47807	0.40798	0.83802	0.05757	0.79414	0.64584	0.4154	0.30611	0.3404	0.21513	0.76981	1.2403	0.87826	0.62477	-0.07046	0.83312	0.05115	0.45668	0.45749	0.36608	0.27033	0.27875	-0.0372	0.04223	-0.0162	0.21179	0.13102	0.2673	-0.05559	0.82075
Heat_shock_protein_hsp_70_gene	M11717_rna1_at	-0.47241	-0.08033	-0.4369	0.36336	0.36141	-1.21719	-0.50701	-0.65803	-0.89968	2.62451	-1.13151	-1.03209	1.12324	-0.25069	-1.39503	-1.29348	0.39276	-0.61241	-0.90276	-0.10916	1.63395	-1.12665	-1.20963	0.4665	2.73129	-0.38318	-0.52195	0.32745	0.44024	2.21437	-0.80834	-1.44434	-0.21373	-0.79357	-1.22961	-0.71792	-0.21721	0.01256
GB_DEF_-_Involucrin_gene_exon_2	M13903_at	-0.32076	-0.46377	0.02039	-1.40715	-0.08185	-1.21719	-1.37386	-1.36832	-1.17221	-0.01197	-0.38208	-0.75505	-1.36149	-1.39979	-1.11739	-1.40095	-1.32667	0.00962	-1.24482	-0.1367	0.05578	-0.06113	-0.23643	-1.20175	0.02347	-0.79708	-1.23051	-0.11844	-0.71115	-1.29865	-0.34696	-0.41524	-0.07319	-1.34158	-1.22961	-0.50021	-0.35465	-0.89806
RPS14_gene_ribosomal_protein_S14_extracted_from_Human_ribosomal_protein_S14_gene	M13934_cds2_at	3.10764	2.90974	2.99977	3.32452	3.21548	3.49405	3.36576	3.13619	2.84099	3.45407	3.31366	3.89822	2.99245	3.28765	3.0116	3.4068	2.26313	3.67932	3.60886	2.44184	2.08121	3.69445	3.70837	3.25311	3.44655	3.3695	3.55521	3.18635	3.64076	2.87013	3.27934	2.83168	2.88576	3.30283	3.69866	2.81781	3.01414	3.27564
T-cell_receptor_beta-chain_J1-3_gene_extracted_from_Human_T-cell_receptor_germline_beta-chain_D1-1_and_J1-1_to_J1-6_genes	M14158_cds4_at	-0.1037	-0.40103	-0.37862	0.02465	-0.93508	-0.10889	-0.351	-0.16123	-0.2219	-0.11169	-0.90227	-0.11513	-0.46737	0.04706	-1.39503	-0.49481	-0.39552	-0.29594	-0.48212	-1.19051	-0.71481	-0.3521	0.27546	-1.48332	-1.01656	-0.20781	-0.25625	-0.65176	-1.02597	-0.68624	-0.08874	-0.0138	0.08055	-1.19791	-1.15487	-0.21863	0.0282	0.02082
GB_DEF_-_ISG-54K_gene_interferon_stimulated_gene_encoding_a_54_kDA_protein_exon_2	M14660_at	-1.45769	-1.3942	-1.11759	-1.40715	-1.42668	-1.21719	-1.37386	-1.36832	-1.47649	-0.94653	-1.28137	-1.03209	-1.36149	-1.39979	-1.39503	-1.40095	-1.56783	-1.20466	-1.24482	-0.61457	-1.06221	-1.12665	-1.20963	-1.48332	-1.18131	-0.81934	-1.14925	-1.43337	-1.08902	-1.29865	-1.26183	-1.44434	0.62202	-1.34158	-1.22961	1.30931	-0.20346	0.31928
FYN_FYN_oncogene_related_to_SRC_FGR_YES	M14676_at	1.24066	0.87212	1.51355	0.71979	0.26066	1.43764	1.12862	1.10527	1.46382	1.15904	1.35693	1.40824	1.24054	1.41521	0.2864	0.55673	0.72615	0.51063	1.0184	0.60814	1.27166	1.02386	1.6777	0.69929	0.735	1.44009	1.32685	0.72161	0.51317	0.54382	0.76009	1.21249	0.73555	0.61899	1.06291	0.76777	0.93232	0.84092
LYN_V-yes-1_Yamaguchi_sarcoma_viral_related_oncogene_homolog	M16038_at	-0.26342	0.22701	-1.3946	0.62578	0.35737	-0.19119	-0.27313	-0.55534	-0.62212	-0.88031	-1.28137	0.3122	-0.44829	0.23799	0.49646	-0.39452	-0.15118	0.41887	-1.24482	-0.12873	0.31237	-0.29898	-1.20963	0.05444	-1.25268	-0.36578	0.25452	0.31019	1.30495	1.41996	0.82319	1.4969	1.50992	1.23706	0.70736	1.34766	1.38402	0.54227
GJA1P1_gene_extracted_from_Human_Hanukah_factor_serine_protease_HuHF_mRNA	M18737_rna1_at	0.21783	-0.60439	0.21918	-0.21056	0.53946	-0.4562	-0.41231	0.67968	-0.08218	0.05976	-0.48872	-0.78472	0.0157	-0.21672	0.28246	-0.17832	0.46606	0.16771	-0.5262	-0.36275	2.30768	0.96374	-0.22234	-0.36031	0.05342	0.31314	0.34386	-0.83486	-1.08902	-0.31818	0.0978	-0.49512	0.15597	0.5023	0.33325	-0.69982	-1.00321	0.49237
FGR_Gardner-Rasheed_feline_sarcoma_viral_v-fgr_oncogene_homolog	M19722_at	1.0782	0.65077	1.23267	1.16923	0.68116	1.36868	0.92231	0.92707	1.97951	1.09411	0.31018	1.00485	0.54038	1.48728	0.56116	0.86788	0.46147	0.64222	0.54382	0.0757	-0.27397	1.03075	0.99811	0.61898	0.57911	0.54045	0.84349	0.54622	0.53463	1.75953	1.07296	1.34405	1.20817	1.15354	0.9877	1.85204	1.32319	0.99921
Platelet-derived_growth_factor_PDGFA_A_chain_gene	M19989_cds2_at	-0.79554	-0.89365	-1.46227	-0.81987	-0.56309	-1.21719	-1.37386	-0.85309	-0.42053	-0.41411	1.15096	0.15675	0.12742	-1.39979	0.6887	-1.31923	-1.17037	-1.14856	-0.70418	0.41574	0.63175	0.40601	-1.20963	0.29568	-1.25268	-0.40809	-1.23051	-0.89329	-1.0002	-0.85582	-1.26183	-1.28127	-0.73852	-0.84529	-1.22961	-1.39906	-0.37661	-1.32403
BMP2_Bone_morphogenetic_protein_2	M22489_at	-1.40394	-1.3942	-1.46227	-1.40715	-1.42668	-1.21719	-1.37386	-1.08807	-1.47649	-1.21583	-1.28137	0.2389	0.12906	-1.39979	-1.39503	0.0886	-1.56783	-1.20466	-0.54442	-1.60767	-1.03507	-1.12665	-1.20963	-1.48332	1.68099	-1.27619	-1.23051	-1.43337	-1.08902	-1.29865	-1.26183	-1.44434	-1.47218	-1.34158	-1.22961	-1.39906	-1.34579	-1.32403
LYL-1_protein_gene	M22638_at	0.11814	-1.15511	-1.46227	-0.27007	0.34513	-1.21719	-0.2066	-0.35197	-1.47649	-1.21583	-1.28137	-1.03209	-0.45461	0.05665	0.63034	0.17881	0.36484	-1.20466	0.00123	0.40963	-1.03507	-1.12665	-1.20963	0.44992	-0.12889	0.63607	-1.23051	-0.18755	0.71912	-0.66299	-0.99995	-0.63558	-1.08486	0.30871	-0.35946	-0.92464	-0.05178	-0.11889
TP53_Tumor_protein_p53_gene	M22898_at	-0.02238	-0.31324	0.1834	0.29405	0.58069	-0.10328	0.22157	-0.57421	0.25999	0.58124	-1.19507	-0.35388	1.0112	0.7176	0.55731	0.0945	0.41251	-0.35782	0.19786	0.77544	0.23081	-1.12665	-0.40674	0.57714	-0.29464	0.41473	0.48693	-0.09095	-1.02597	-1.13451	-0.41724	-0.82886	-1.47218	-0.30917	-0.2092	-0.6821	-1.34579	-1.32403
MLC_gene_non-muscle_myosin_light_chain_extracted_from_Human_nonmuscle/smooth_muscle_alkali_myosin_light_chain_gene	M22919_rna2_at	-0.35083	1.14211	0.09526	-0.96033	0.1408	0.01718	-0.48152	-1.36832	0.76675	0.04352	0.21653	0.6638	-0.24168	-0.17166	-0.70773	-0.12252	-1.56783	-1.20466	-1.24482	-0.63646	-1.06221	1.02386	0.18791	-0.07423	0.94776	0.45385	-1.23051	0.72671	0.25283	0.65934	-0.18812	0.2019	-1.47218	0.71959	1.29487	0.23072	-1.34579	0.61018
RAP1A_RAP1A_member_of_RAS_oncogene_family	M22995_at	-0.1252	0.20547	-0.79338	-0.56641	0.1677	-1.21719	-0.84592	-0.82253	-0.27823	-0.81853	-0.75423	-1.03209	-0.23177	-0.28596	-0.50932	-0.01549	0.28269	0.83964	-0.34958	-0.34706	0.13633	-1.12665	-1.20963	-0.5308	-0.93408	-0.69813	-0.64533	-0.14679	0.16489	-0.10823	-1.26183	-0.48896	-0.2197	-0.54808	-0.40822	-0.53471	-0.33855	-0.77633
CD33_gene	M23197_at	-0.57277	-1.38539	-0.47039	-0.41469	-0.15402	-1.21719	-1.37386	-0.52956	-1.10366	-0.74396	-0.97673	-0.00787	-0.99141	-1.05662	-1.39503	-0.73418	-0.67921	-0.87388	-0.82569	-1.12953	-0.75991	-0.92231	-1.13505	-1.46474	-0.59614	-1.04821	-1.23051	-0.38605	0.50814	0.70283	1.05902	0.38602	-0.19413	1.1056	0.7663	0.48881	-0.13785	-0.40721
THRA_Thyroid_hormone_receptor_alpha_avian_erythroblastic_leukemia_viral_v-erb-a_oncogene_homolog	M24899_at	-1.45769	-1.3942	-1.46227	-1.40715	-1.42668	-1.21719	-1.37386	-1.36832	-1.47649	-1.21583	-1.28137	-1.03209	-1.36149	-1.39979	-1.39503	-1.40095	-0.37052	-1.20466	-1.24482	-0.10274	-1.06221	-1.12665	-1.20963	-1.48332	-1.25268	-1.27619	-1.23051	-1.43337	-1.08902	-1.29865	-1.26183	-1.44434	-1.47218	-1.34158	-1.22961	-1.39906	-1.34579	-1.32403
ELK1_ELK1_member_of_ETS_oncogene_family	M25269_at	-0.23603	-0.85429	0.22694	-0.0742	-0.30665	0.14113	0.03698	0.0689	-0.18383	-0.2142	-0.41974	0.0384	-0.42348	-0.21929	-0.66432	-0.64893	0.15941	-0.85361	-0.37235	-1.18083	-0.87967	0.55783	0.26706	-0.28673	-0.40675	-0.43369	-0.15757	0.01139	-0.28093	-0.03543	-0.02814	-0.59315	-0.32134	-0.15926	0.06419	-0.38961	0.05047	-0.13096
